model_Id,hvac_tstat,event_start,event_hours,precool_hours,precool_degF,reset_degF
"DF_70_10_2_[4, 6]_2_0",70,10,2,4,2,0
"DF_70_10_2_[4, 6]_2_2",70,10,2,4,2,2
"DF_70_10_2_[4, 6]_2_4",70,10,2,4,2,4
"DF_70_10_2_[4, 6]_2_6",70,10,2,4,2,6
"DF_70_10_2_[4, 6]_0_0",70,10,2,6,0,0
"DF_70_10_2_[4, 6]_0_2",70,10,2,6,0,2
"DF_70_10_2_[4, 6]_0_4",70,10,2,6,0,4
"DF_70_10_2_[4, 6]_0_6",70,10,2,6,0,6
"DF_70_10_2_[4, 6]_2_0",70,10,2,6,2,0
"DF_70_10_2_[4, 6]_2_2",70,10,2,6,2,2
"DF_70_10_2_[4, 6]_2_4",70,10,2,6,2,4
"DF_70_10_2_[4, 6]_2_6",70,10,2,6,2,6
"DF_70_10_4_[4, 6]_0_0",70,10,4,4,0,0
"DF_70_10_4_[4, 6]_0_2",70,10,4,4,0,2
"DF_70_10_4_[4, 6]_0_4",70,10,4,4,0,4
"DF_70_10_4_[4, 6]_0_6",70,10,4,4,0,6
"DF_70_10_4_[4, 6]_2_0",70,10,4,4,2,0
"DF_70_10_4_[4, 6]_2_2",70,10,4,4,2,2
"DF_70_10_4_[4, 6]_2_4",70,10,4,4,2,4
"DF_70_10_4_[4, 6]_2_6",70,10,4,4,2,6
"DF_70_10_4_[4, 6]_0_0",70,10,4,6,0,0
"DF_70_10_4_[4, 6]_0_2",70,10,4,6,0,2
"DF_70_10_4_[4, 6]_0_4",70,10,4,6,0,4
"DF_70_10_4_[4, 6]_0_6",70,10,4,6,0,6
"DF_70_10_4_[4, 6]_2_0",70,10,4,6,2,0
"DF_70_10_4_[4, 6]_2_2",70,10,4,6,2,2
"DF_70_10_4_[4, 6]_2_4",70,10,4,6,2,4
"DF_70_10_4_[4, 6]_2_6",70,10,4,6,2,6
"DF_70_10_6_[4, 6]_0_0",70,10,6,4,0,0
"DF_70_10_6_[4, 6]_0_2",70,10,6,4,0,2
"DF_70_10_6_[4, 6]_0_4",70,10,6,4,0,4
"DF_70_10_6_[4, 6]_0_6",70,10,6,4,0,6
"DF_70_10_6_[4, 6]_2_0",70,10,6,4,2,0
"DF_70_10_6_[4, 6]_2_2",70,10,6,4,2,2
"DF_70_10_6_[4, 6]_2_4",70,10,6,4,2,4
"DF_70_10_6_[4, 6]_2_6",70,10,6,4,2,6
"DF_70_10_6_[4, 6]_0_0",70,10,6,6,0,0
"DF_70_10_6_[4, 6]_0_2",70,10,6,6,0,2
"DF_70_10_6_[4, 6]_0_4",70,10,6,6,0,4
"DF_70_10_6_[4, 6]_0_6",70,10,6,6,0,6
"DF_70_10_6_[4, 6]_2_0",70,10,6,6,2,0
"DF_70_10_6_[4, 6]_2_2",70,10,6,6,2,2
"DF_70_10_6_[4, 6]_2_4",70,10,6,6,2,4
"DF_70_10_6_[4, 6]_2_6",70,10,6,6,2,6
"DF_70_11_2_[4, 6]_0_0",70,11,2,4,0,0
"DF_70_11_2_[4, 6]_0_2",70,11,2,4,0,2
"DF_70_11_2_[4, 6]_0_4",70,11,2,4,0,4
"DF_70_11_2_[4, 6]_0_6",70,11,2,4,0,6
"DF_70_11_2_[4, 6]_2_0",70,11,2,4,2,0
"DF_70_11_2_[4, 6]_2_2",70,11,2,4,2,2
"DF_70_11_2_[4, 6]_2_4",70,11,2,4,2,4
"DF_70_11_2_[4, 6]_2_6",70,11,2,4,2,6
"DF_70_11_2_[4, 6]_0_0",70,11,2,6,0,0
"DF_70_11_2_[4, 6]_0_2",70,11,2,6,0,2
"DF_70_11_2_[4, 6]_0_4",70,11,2,6,0,4
"DF_70_11_2_[4, 6]_0_6",70,11,2,6,0,6
"DF_70_11_2_[4, 6]_2_0",70,11,2,6,2,0
"DF_70_11_2_[4, 6]_2_2",70,11,2,6,2,2
"DF_70_11_2_[4, 6]_2_4",70,11,2,6,2,4
"DF_70_11_2_[4, 6]_2_6",70,11,2,6,2,6
"DF_70_11_4_[4, 6]_0_0",70,11,4,4,0,0
"DF_70_11_4_[4, 6]_0_2",70,11,4,4,0,2
"DF_70_11_4_[4, 6]_0_4",70,11,4,4,0,4
"DF_70_11_4_[4, 6]_0_6",70,11,4,4,0,6
"DF_70_11_4_[4, 6]_2_0",70,11,4,4,2,0
"DF_70_11_4_[4, 6]_2_2",70,11,4,4,2,2
"DF_70_11_4_[4, 6]_2_4",70,11,4,4,2,4
"DF_70_11_4_[4, 6]_2_6",70,11,4,4,2,6
"DF_70_11_4_[4, 6]_0_0",70,11,4,6,0,0
"DF_70_11_4_[4, 6]_0_2",70,11,4,6,0,2
"DF_70_11_4_[4, 6]_0_4",70,11,4,6,0,4
"DF_70_11_4_[4, 6]_0_6",70,11,4,6,0,6
"DF_70_11_4_[4, 6]_2_0",70,11,4,6,2,0
"DF_70_11_4_[4, 6]_2_2",70,11,4,6,2,2
"DF_70_11_4_[4, 6]_2_4",70,11,4,6,2,4
"DF_70_11_4_[4, 6]_2_6",70,11,4,6,2,6
"DF_70_11_6_[4, 6]_0_0",70,11,6,4,0,0
"DF_70_11_6_[4, 6]_0_2",70,11,6,4,0,2
"DF_70_11_6_[4, 6]_0_4",70,11,6,4,0,4
"DF_70_11_6_[4, 6]_0_6",70,11,6,4,0,6
"DF_70_11_6_[4, 6]_2_0",70,11,6,4,2,0
"DF_70_11_6_[4, 6]_2_2",70,11,6,4,2,2
"DF_70_11_6_[4, 6]_2_4",70,11,6,4,2,4
"DF_70_11_6_[4, 6]_2_6",70,11,6,4,2,6
"DF_70_11_6_[4, 6]_0_0",70,11,6,6,0,0
"DF_70_11_6_[4, 6]_0_2",70,11,6,6,0,2
"DF_70_11_6_[4, 6]_0_4",70,11,6,6,0,4
"DF_70_11_6_[4, 6]_0_6",70,11,6,6,0,6
"DF_70_11_6_[4, 6]_2_0",70,11,6,6,2,0
"DF_70_11_6_[4, 6]_2_2",70,11,6,6,2,2
"DF_70_11_6_[4, 6]_2_4",70,11,6,6,2,4
"DF_70_11_6_[4, 6]_2_6",70,11,6,6,2,6
"DF_70_12_2_[4, 6]_0_0",70,12,2,4,0,0
"DF_70_12_2_[4, 6]_0_2",70,12,2,4,0,2
"DF_70_12_2_[4, 6]_0_4",70,12,2,4,0,4
"DF_70_12_2_[4, 6]_0_6",70,12,2,4,0,6
"DF_70_12_2_[4, 6]_2_0",70,12,2,4,2,0
"DF_70_12_2_[4, 6]_2_2",70,12,2,4,2,2
"DF_70_12_2_[4, 6]_2_4",70,12,2,4,2,4
"DF_70_12_2_[4, 6]_2_6",70,12,2,4,2,6
"DF_70_12_2_[4, 6]_0_0",70,12,2,6,0,0
"DF_70_12_2_[4, 6]_0_2",70,12,2,6,0,2
"DF_70_12_2_[4, 6]_0_4",70,12,2,6,0,4
"DF_70_12_2_[4, 6]_0_6",70,12,2,6,0,6
"DF_70_12_2_[4, 6]_2_0",70,12,2,6,2,0
"DF_70_12_2_[4, 6]_2_2",70,12,2,6,2,2
"DF_70_12_2_[4, 6]_2_4",70,12,2,6,2,4
"DF_70_12_2_[4, 6]_2_6",70,12,2,6,2,6
"DF_70_12_4_[4, 6]_0_0",70,12,4,4,0,0
"DF_70_12_4_[4, 6]_0_2",70,12,4,4,0,2
"DF_70_12_4_[4, 6]_0_4",70,12,4,4,0,4
"DF_70_12_4_[4, 6]_0_6",70,12,4,4,0,6
"DF_70_12_4_[4, 6]_2_0",70,12,4,4,2,0
"DF_70_12_4_[4, 6]_2_2",70,12,4,4,2,2
"DF_70_12_4_[4, 6]_2_4",70,12,4,4,2,4
"DF_70_12_4_[4, 6]_2_6",70,12,4,4,2,6
"DF_70_12_4_[4, 6]_0_0",70,12,4,6,0,0
"DF_70_12_4_[4, 6]_0_2",70,12,4,6,0,2
"DF_70_12_4_[4, 6]_0_4",70,12,4,6,0,4
"DF_70_12_4_[4, 6]_0_6",70,12,4,6,0,6
"DF_70_12_4_[4, 6]_2_0",70,12,4,6,2,0
"DF_70_12_4_[4, 6]_2_2",70,12,4,6,2,2
"DF_70_12_4_[4, 6]_2_4",70,12,4,6,2,4
"DF_70_12_4_[4, 6]_2_6",70,12,4,6,2,6
"DF_70_12_6_[4, 6]_0_0",70,12,6,4,0,0
"DF_70_12_6_[4, 6]_0_2",70,12,6,4,0,2
"DF_70_12_6_[4, 6]_0_4",70,12,6,4,0,4
"DF_70_12_6_[4, 6]_0_6",70,12,6,4,0,6
"DF_70_12_6_[4, 6]_2_0",70,12,6,4,2,0
"DF_70_12_6_[4, 6]_2_2",70,12,6,4,2,2
"DF_70_12_6_[4, 6]_2_4",70,12,6,4,2,4
"DF_70_12_6_[4, 6]_2_6",70,12,6,4,2,6
"DF_70_12_6_[4, 6]_0_0",70,12,6,6,0,0
"DF_70_12_6_[4, 6]_0_2",70,12,6,6,0,2
"DF_70_12_6_[4, 6]_0_4",70,12,6,6,0,4
"DF_70_12_6_[4, 6]_0_6",70,12,6,6,0,6
"DF_70_12_6_[4, 6]_2_0",70,12,6,6,2,0
"DF_70_12_6_[4, 6]_2_2",70,12,6,6,2,2
"DF_70_12_6_[4, 6]_2_4",70,12,6,6,2,4
"DF_70_12_6_[4, 6]_2_6",70,12,6,6,2,6
"DF_70_13_2_[4, 6]_0_0",70,13,2,4,0,0
"DF_70_13_2_[4, 6]_0_2",70,13,2,4,0,2
"DF_70_13_2_[4, 6]_0_4",70,13,2,4,0,4
"DF_70_13_2_[4, 6]_0_6",70,13,2,4,0,6
"DF_70_13_2_[4, 6]_2_0",70,13,2,4,2,0
"DF_70_13_2_[4, 6]_2_2",70,13,2,4,2,2
"DF_70_13_2_[4, 6]_2_4",70,13,2,4,2,4
"DF_70_13_2_[4, 6]_2_6",70,13,2,4,2,6
"DF_70_13_2_[4, 6]_0_0",70,13,2,6,0,0
"DF_70_13_2_[4, 6]_0_2",70,13,2,6,0,2
"DF_70_13_2_[4, 6]_0_4",70,13,2,6,0,4
"DF_70_13_2_[4, 6]_0_6",70,13,2,6,0,6
"DF_70_13_2_[4, 6]_2_0",70,13,2,6,2,0
"DF_70_13_2_[4, 6]_2_2",70,13,2,6,2,2
"DF_70_13_2_[4, 6]_2_4",70,13,2,6,2,4
"DF_70_13_2_[4, 6]_2_6",70,13,2,6,2,6
"DF_70_13_4_[4, 6]_0_0",70,13,4,4,0,0
"DF_70_13_4_[4, 6]_0_2",70,13,4,4,0,2
"DF_70_13_4_[4, 6]_0_4",70,13,4,4,0,4
"DF_70_13_4_[4, 6]_0_6",70,13,4,4,0,6
"DF_70_13_4_[4, 6]_2_0",70,13,4,4,2,0
"DF_70_13_4_[4, 6]_2_2",70,13,4,4,2,2
"DF_70_13_4_[4, 6]_2_4",70,13,4,4,2,4
"DF_70_13_4_[4, 6]_2_6",70,13,4,4,2,6
"DF_70_13_4_[4, 6]_0_0",70,13,4,6,0,0
"DF_70_13_4_[4, 6]_0_2",70,13,4,6,0,2
"DF_70_13_4_[4, 6]_0_4",70,13,4,6,0,4
"DF_70_13_4_[4, 6]_0_6",70,13,4,6,0,6
"DF_70_13_4_[4, 6]_2_0",70,13,4,6,2,0
"DF_70_13_4_[4, 6]_2_2",70,13,4,6,2,2
"DF_70_13_4_[4, 6]_2_4",70,13,4,6,2,4
"DF_70_13_4_[4, 6]_2_6",70,13,4,6,2,6
"DF_70_13_6_[4, 6]_0_0",70,13,6,4,0,0
"DF_70_13_6_[4, 6]_0_2",70,13,6,4,0,2
"DF_70_13_6_[4, 6]_0_4",70,13,6,4,0,4
"DF_70_13_6_[4, 6]_0_6",70,13,6,4,0,6
"DF_70_13_6_[4, 6]_2_0",70,13,6,4,2,0
"DF_70_13_6_[4, 6]_2_2",70,13,6,4,2,2
"DF_70_13_6_[4, 6]_2_4",70,13,6,4,2,4
"DF_70_13_6_[4, 6]_2_6",70,13,6,4,2,6
"DF_70_13_6_[4, 6]_0_0",70,13,6,6,0,0
"DF_70_13_6_[4, 6]_0_2",70,13,6,6,0,2
"DF_70_13_6_[4, 6]_0_4",70,13,6,6,0,4
"DF_70_13_6_[4, 6]_0_6",70,13,6,6,0,6
"DF_70_13_6_[4, 6]_2_0",70,13,6,6,2,0
"DF_70_13_6_[4, 6]_2_2",70,13,6,6,2,2
"DF_70_13_6_[4, 6]_2_4",70,13,6,6,2,4
"DF_70_13_6_[4, 6]_2_6",70,13,6,6,2,6
"DF_70_14_2_[4, 6]_0_0",70,14,2,4,0,0
"DF_70_14_2_[4, 6]_0_2",70,14,2,4,0,2
"DF_70_14_2_[4, 6]_0_4",70,14,2,4,0,4
"DF_70_14_2_[4, 6]_0_6",70,14,2,4,0,6
