Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Electricity:Facility [J](TimeStep),Fans:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),InteriorLights:Electricity [J](TimeStep) 
 01/01  20:00:00,7.1,44.0,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  20:15:00,6.424999999999999,49.75,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  20:30:00,5.75,55.5,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  20:45:00,5.075,61.25,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  21:00:00,4.4,67.0,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  21:15:00,4.525,66.25,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  21:30:00,4.65,65.5,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  21:45:00,4.775,64.75,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  22:00:00,4.9,64.0,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  22:15:00,4.925000000000001,63.5,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  22:30:00,4.95,63.0,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  22:45:00,4.975,62.5,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  23:00:00,5.0,62.0,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  23:15:00,4.775,65.5,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  23:30:00,4.55,69.0,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  23:45:00,4.324999999999999,72.5,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/01  24:00:00,4.1,76.0,30217816.958574635,0.0,0.0,0.0,2412374.4105526807 
 01/02  00:15:00,3.7749999999999996,72.0,35042565.779680009,0.0,0.0,0.0,2412374.4105526807 
 01/02  00:30:00,3.4499999999999999,68.0,35042565.779680009,0.0,0.0,0.0,2412374.4105526807 
 01/02  00:45:00,3.1249999999999997,64.0,35042565.779680009,0.0,0.0,0.0,2412374.4105526807 
 01/02  01:00:00,2.8,60.0,35042565.779680009,0.0,0.0,0.0,2412374.4105526807 
 01/02  01:15:00,2.4999999999999997,63.5,35042565.779680009,0.0,0.0,0.0,2412374.4105526807 
 01/02  01:30:00,2.2,67.0,35042565.779680009,0.0,0.0,0.0,2412374.4105526807 
 01/02  01:45:00,1.9000000000000002,70.5,35042565.779680009,0.0,0.0,0.0,2412374.4105526807 
 01/02  02:00:00,1.6,74.0,35042565.779680009,0.0,0.0,0.0,2412374.4105526807 
 01/02  02:15:00,1.4500000000000002,80.5,35042565.779680009,0.0,0.0,0.0,2412374.4105526807 
 01/02  02:30:00,1.3,87.0,35042565.779680009,0.0,0.0,0.0,2412374.4105526807 
 01/02  02:45:00,1.15,93.5,35042565.779680009,0.0,0.0,0.0,2412374.4105526807 
