Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep),Electricity:Facility [J](TimeStep),Fans:Electricity [J](TimeStep),Cooling:Electricity [J](TimeStep),Heating:Electricity [J](TimeStep),InteriorLights:Electricity [J](TimeStep) 
 01/02  13:45:00,19.875,22.5,101966441.65193007,7827437.8937464919,18387468.867739947,0.0,30497966.60983795 
 01/02  14:00:00,20.0,23.0,101980055.69202367,7875790.2171124969,18114674.217155026,0.0,30736022.977150486 
 01/02  14:15:00,19.725,24.5,97009162.56758335,7695436.639294008,16524225.277276047,0.0,30736022.977150486 
 01/02  14:30:00,19.45,26.0,96091518.03555572,7921506.369418066,15380511.015124344,0.0,30736022.977150486 
 01/02  14:45:00,19.174999999999998,27.5,94550216.44206329,7529109.424494519,14231606.366555445,0.0,30736022.977150486 
 01/02  15:00:00,18.9,29.0,93018302.2137215,7065215.498261007,13163586.064447176,0.0,30736022.977150486 
 01/02  15:15:00,18.775,29.0,91752078.28881943,6589568.333407553,12373009.304398573,0.0,30736022.977150486 
 01/02  15:30:00,18.65,29.0,90580491.23690275,6170225.432579423,11620765.15331001,0.0,30736022.977150486 
 01/02  15:45:00,18.525,29.0,90263165.1298415,5715731.048603231,10836807.97259461,0.0,31657148.434780856 
 01/02  16:00:00,18.4,29.0,89194003.97079304,5359332.891252627,10124044.970896736,0.0,31657148.434780856 
 01/02  16:15:00,17.125,32.25,90152880.84774032,5272604.749369965,6709166.546554634,0.0,33499375.92698149 
 01/02  16:30:00,15.85,35.5,87978161.8015478,5072171.610476997,2892676.5701145159,0.0,35341579.996122058 
 01/02  16:45:00,14.575000000000001,38.75,85143445.96528386,5027708.391999154,0.0,102423.95232841952,35341579.996122058 
 01/02  17:00:00,13.3,42.0,92395112.2381514,5026224.054856471,0.0,226224.56233862957,35341579.996122058 
 01/02  17:15:00,12.725000000000002,43.25,72241187.60313668,4857979.316716155,0.0,5198735.559051832,19634211.1089567 
 01/02  17:30:00,12.15,44.5,74795481.67644154,4831542.465129118,0.0,7779466.483943742,19634211.1089567 
 01/02  17:45:00,11.575,45.75,76946760.94259416,4817791.003994799,0.0,9944497.21123069,19634211.1089567 
 01/02  18:00:00,11.0,47.0,79652038.82478512,4809279.0599276539,0.0,12658287.037488802,19634211.1089567 
 01/02  18:15:00,10.45,51.0,50730010.9535679,4555841.164856939,0.0,9865622.712359148,11780526.665374013 
 01/02  18:30:00,9.9,55.0,52190218.32289897,4555841.164856939,0.0,11325830.08169023,11780526.665374013 
 01/02  18:45:00,9.350000000000002,59.0,53346258.73492482,4555841.164856939,0.0,12481870.493716076,11780526.665374013 
 01/02  19:00:00,8.8,63.0,54835503.936886299,4555841.164856939,0.0,13971115.695677538,11780526.665374013 
 01/02  19:15:00,8.525,63.0,52443581.74875384,4555841.164856939,0.0,13906532.130630808,11780526.665374013 
 01/02  19:30:00,8.25,63.0,53412171.22887862,4555841.164856939,0.0,14875121.610755565,11780526.665374013 
 01/02  19:45:00,7.9750000000000009,63.0,54586523.76152871,4555841.164856939,0.0,16049474.143405678,11780526.665374013 
 01/02  20:00:00,7.7,63.0,55607220.65137875,4555841.164856939,0.0,17070171.033255724,11780526.665374013 
